State,Campaigns,Status,Type,Targeting,Campaign bidding strategy,Start date,End date,Portfolio,Budget(USD),Top-of-search IS,Cost type,Impressions,Clicks,CTR,Spend(USD),CPC(USD),Orders,Sales(USD),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(USD),% of sales NTB,Viewable impressions,VCPM(USD)
ARCHIVED,Campaign - 1/6/2022 10:12:07,CAMPAIGN_ARCHIVED,SP,MANUAL,Dynamic bids - down only,1/6/22,,Active Campaigns,1.00,,CPC,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
ENABLED,Sugar Glider Food,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Fixed bids,11/18/21,,Active Campaigns,10.00,8.269569278298667%,CPC,40141,440,0.011,247.61,0.56,173,3403.17,0.0728,13.7441,0,0,0.00,0,0,0.00
ENABLED,Sleeping Pouches,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,10/2/20,,Active Campaigns,10.00,<5%,CPC,691897,3953,0.0057,2170.23,0.55,706,11920.33,0.1821,5.4927,0,0,0.00,0,0,0.00
ENABLED,Bonding Pouches,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,10/2/20,,Active Campaigns,10.00,<5%,CPC,920584,5379,0.0058,2615.14,0.49,690,13695.77,0.1909,5.2371,0,0,0.00,0,0,0.00
ENABLED,Wholesome Balance Manual Targeting,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,8/14/20,,Active Campaigns,50.00,13.033690172449003%,CPC,1926863,10141,0.0053,5083.69,0.50,3331,64806.88,0.0784,12.748,0,0,0.00,0,0,0.00
ENABLED,Hedgehog,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,6/11/17,,Active Campaigns,20.00,10.805818348637285%,CPC,1336066,15365,0.0115,4691.81,0.31,4072,94715.23,0.0495,20.1874,0,0,0.00,0,0,0.00
ENABLED,Sugar Glider Toy,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,3/3/17,,Active Campaigns,20.00,29.182649220290376%,CPC,2888661,28049,0.0097,10262.42,0.37,3334,80562.83,0.1274,7.8503,0,0,0.00,0,0,0.00
ENABLED,Bonding Potion,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,11/16/16,,Active Campaigns,10.00,<5%,CPC,825358,6139,0.0074,2424.83,0.39,933,16487.40,0.1471,6.7994,0,0,0.00,0,0,0.00
ENABLED,FriendChips,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,11/9/16,,Active Campaigns,10.00,<5%,CPC,854477,3979,0.0047,1181.36,0.30,823,14911.63,0.0792,12.6224,0,0,0.00,0,0,0.00
ENABLED,Treats,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/12/16,,Active Campaigns,40.00,<5%,CPC,1038603,6397,0.0062,2074.89,0.32,1795,31230.86,0.0664,15.0518,0,0,0.00,0,0,0.00
ENABLED,SS Feeding Cups,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/11/16,,Active Campaigns,10.00,<5%,CPC,1082509,6407,0.0059,2362.06,0.37,1028,21077.64,0.1121,8.9234,0,0,0.00,0,0,0.00
ENABLED,SR Wheel + NoM,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,6/30/16,,Active Campaigns,20.00,11.95462776316239%,CPC,4378675,35893,0.0082,10121.00,0.28,3448,117873.11,0.0859,11.6464,0,0,0.00,0,0,0.00
ENABLED,blueberry fortifier,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,6/30/16,,Active Campaigns,10.00,<5%,CPC,523863,2906,0.0055,993.27,0.34,882,17383.20,0.0571,17.501,0,0,0.00,0,0,0.00
