Date,Type,Title,Info,Currency,Amount,"Fees & Taxes",Net
"December 31, 2021",Transaction,Shipping,"order: 2328942637",USD,--,-$0.15,-$0.15
"December 31, 2021",Sale,"Payment for Order 2328942637",payment,USD,$7.67,-$0.48,$6.67
"December 31, 2021",Transaction,"Ball Pit WOO HOO Sugar Glider Toy","transaction: 2815013186",USD,--,-$0.21,-$0.21
"December 31, 2021",Listing,"Ball Pit WOO HOO Sugar Glider Toy","listing: 924099920",USD,--,-$0.20,-$0.20
"December 29, 2021",Transaction,Shipping,"order: 2326897381",USD,--,-$0.21,-$0.21
"December 29, 2021",Transaction,"Sugar Glider Mini Yogurt Treats.","transaction: 2814994805",USD,--,-$0.45,-$0.45
"December 29, 2021",Sale,"Payment for Order 2326897381",payment,USD,$14.11,-$0.67,$12.52
"December 29, 2021",Listing,"Sugar Glider Mini Yogurt Treats.","listing: 1022626511",USD,--,-$0.20,-$0.20
"December 28, 2021",Transaction,Shipping,"order: 2326099952",USD,--,-$0.17,-$0.17
"December 28, 2021",Transaction,"Ball Pit WOO HOO Sugar Glider Toy","transaction: 2810227012",USD,--,-$0.21,-$0.21
"December 28, 2021",Sale,"Payment for Order 2326099952",payment,USD,$8.33,-$0.50,$7.13
"December 28, 2021",Listing,"Ball Pit WOO HOO Sugar Glider Toy","listing: 924099920",USD,--,-$0.20,-$0.20
"December 28, 2021",Transaction,Shipping,"order: 2325189811",USD,--,-$0.44,-$0.44
"December 28, 2021",Transaction,"Wodent Wheel Junior 8&quot; - Small Hamsters, Mice, and Other Similarly Sized Animals","transaction: 2810171054",USD,--,-$1.37,-$1.37
"December 28, 2021",Sale,"Payment for Order 2325189811",payment,USD,$39.35,-$1.43,$34.71
"December 28, 2021",Listing,"Wodent Wheel Junior 8&quot; - Small Hamsters, Mice, and Other Similarly Sized Animals","listing: 1055674713",USD,--,-$0.20,-$0.20
"December 28, 2021",Listing,"Wodent Wheel Junior 8&quot; - Small Hamsters, Mice, and Other Similarly Sized Animals","transaction: 2810171054",USD,--,-$0.20,-$0.20
"December 27, 2021",Transaction,Shipping,"order: 2325779034",USD,--,-$0.41,-$0.41
"December 27, 2021",Transaction,"Wodent Wheel Senior 11&quot;","transaction: 2809791292",USD,--,-$0.79,-$0.79
"December 27, 2021",Sale,"Payment for Order 2325779034",payment,USD,$25.85,-$1.03,$23.02
"December 27, 2021",Listing,"Wodent Wheel Senior 11&quot;","listing: 949601051",USD,--,-$0.20,-$0.20
"December 27, 2021",Deposit,"$235.66 sent to your bank account",,USD,--,--,--
"December 26, 2021",Sale,"Payment for Order 2324296948",payment,USD,$40.53,-$1.47,$36.76
"December 26, 2021",Transaction,Shipping,"order: 2324296948",USD,--,-$0.78,-$0.78
"December 26, 2021",Transaction,"Wodent Wheel Wobust 12&quot;","transaction: 2807751308",USD,--,-$1.13,-$1.13
"December 26, 2021",Listing,"Wodent Wheel Wobust 12&quot;","listing: 1041722202",USD,--,-$0.20,-$0.20
"December 26, 2021",Transaction,Shipping,"order: 2323235709",USD,--,-$0.41,-$0.41
"December 26, 2021",Transaction,"Sugar Glider Mini Yogurt Treats.","transaction: 2810066735",USD,--,-$0.41,-$0.41
"December 26, 2021",Sale,"Payment for Order 2323235709",payment,USD,$31.75,-$1.20,$30.55
"December 26, 2021",Transaction,"Sugar Glider Contempo Cave","transaction: 2807647718",USD,--,-$0.51,-$0.51
"December 26, 2021",Transaction,"Sugar Glider Stainless Feeding Cup – One 5 oz Dish with Hanger","transaction: 2810066737",USD,--,-$0.25,-$0.25
"December 26, 2021",Listing,"Sugar Glider Contempo Cave","listing: 922035725",USD,--,-$0.20,-$0.20
"December 26, 2021",Listing,"Sugar Glider Mini Yogurt Treats.","listing: 1022626511",USD,--,-$0.20,-$0.20
"December 26, 2021",Listing,"Sugar Glider Stainless Feeding Cup – One 5 oz Dish with Hanger","listing: 988463232",USD,--,-$0.20,-$0.20
"December 24, 2021",Sale,"Payment for Order 2322834210",payment,USD,$25.76,-$1.02,$23.28
"December 24, 2021",Transaction,Shipping,"order: 2322834210",USD,--,-$0.42,-$0.42
"December 24, 2021",Transaction,"Wodent Wheel Senior 11&quot;","transaction: 2808019659",USD,--,-$0.79,-$0.79
"December 24, 2021",Listing,"Wodent Wheel Senior 11&quot;","listing: 949601051",USD,--,-$0.20,-$0.20
"December 23, 2021",Transaction,"Glass Water Bottle for Sugar Gliders and Other Small Animals","transaction: 2804869194",USD,--,-$0.72,-$0.72
"December 23, 2021",Transaction,"Sugar Glider Three Stainless Feeding Cups with Hanger · 5 oz","transaction: 2804869200",USD,--,-$0.59,-$0.59
"December 23, 2021",Sale,"Payment for Order 2320781089",payment,USD,$40.89,-$1.48,$39.41
"December 23, 2021",Transaction,"Sugar Glider Charm","transaction: 2804869198",USD,--,-$0.31,-$0.31
"December 23, 2021",Transaction,Shipping,"order: 2320781089",USD,--,-$0.42,-$0.42
"December 23, 2021",Listing,"Glass Water Bottle for Sugar Gliders and Other Small Animals","listing: 1024332946",USD,--,-$0.20,-$0.20
"December 23, 2021",Listing,"Sugar Glider Charm","listing: 982287569",USD,--,-$0.20,-$0.20
"December 23, 2021",Listing,"Sugar Glider Three Stainless Feeding Cups with Hanger · 5 oz","listing: 1022745377",USD,--,-$0.20,-$0.20
"December 23, 2021",Listing,"Glass Water Bottle for Sugar Gliders and Other Small Animals","transaction: 2804869194",USD,--,-$0.20,-$0.20
"December 23, 2021",Transaction,Shipping,"order: 2321559050",USD,--,-$0.74,-$0.74
"December 23, 2021",Transaction,"Sugar Glider Mini Yogurt Treats 2 Pack 8oz. (Save 5%)","transaction: 2804156286",USD,--,-$0.89,-$0.89
"December 23, 2021",Transaction,"Blueberry Fortifier Sugar Glider Complete Supplement","transaction: 2806227403",USD,--,-$2.39,-$2.39
"December 23, 2021",Sale,"Payment for Order 2321559050",payment,USD,$86.89,-$2.86,$77.69
"December 23, 2021",Listing,"Sugar Glider Mini Yogurt Treats 2 Pack 8oz. (Save 5%)","listing: 988465890",USD,--,-$0.20,-$0.20
"December 23, 2021",Listing,"Blueberry Fortifier Sugar Glider Complete Supplement","listing: 908074112",USD,--,-$0.20,-$0.20
"December 23, 2021",Listing,"Blueberry Fortifier Sugar Glider Complete Supplement","transaction: 2806227403",USD,--,-$0.40,-$0.40
"December 22, 2021",Listing,"3 Flavors - 1.5 LB Bag Wholesome Balance™ Sugar Glider Food","listing: 908077064",USD,--,-$0.20,-$0.20
